CWE_ID,num_functions
CWE-119,2886
CWE-125,2867
CWE-787,2420
CWE-20,2108
CWE-476,1804
CWE-416,1775
CWE-190,1362
NVD-CWE-noinfo,1211
CWE-399,919
CWE-200,824
CWE-362,742
CWE-264,612
CWE-120,595
NVD-CWE-Other,504
CWE-284,426
CWE-189,374
CWE-415,373
CWE-400,345
CWE-617,254
CWE-22,246
CWE-59,195
CWE-401,188
CWE-369,182
CWE-254,167
CWE-122,163
CWE-835,144
CWE-732,133
CWE-295,128
CWE-79,125
CWE-269,117
CWE-287,115
CWE-310,112
CWE-78,110
CWE-772,108
CWE-674,104
CWE-19,101
CWE-843,92
CWE-17,82
CWE-763,82
CWE-908,79
CWE-285,72
CWE-755,59
CWE-770,56
CWE-681,53
CWE-404,53
CWE-116,52
CWE-276,52
CWE-754,49
CWE-252,46
CWE-191,46
CWE-134,46
CWE-667,43
CWE-863,43
CWE-824,42
CWE-776,40
CWE-358,39
CWE-1284,39
CWE-668,39
CWE-74,38
CWE-347,35
CWE-203,35
CWE-611,34
CWE-193,31
CWE-121,30
CWE-354,30
CWE-311,29
CWE-704,29
CWE-129,28
CWE-352,28
CWE-367,27
CWE-18,27
CWE-77,25
CWE-434,24
CWE-913,24
CWE-330,23
CWE-601,22
CWE-436,22
CWE-697,22
CWE-131,22
CWE-444,21
CWE-834,21
CWE-552,21
CWE-682,21
CWE-327,21
CWE-326,20
CWE-89,20
CWE-94,20
CWE-90,19
CWE-290,19
CWE-909,18
CWE-862,18
CWE-613,17
CWE-918,17
CWE-388,16
CWE-522,16
CWE-345,16
CWE-255,15
CWE-672,14
CWE-665,14
CWE-323,13
CWE-384,13
CWE-407,13
CWE-823,12
CWE-428,11
CWE-670,11
CWE-426,11
CWE-532,10
CWE-502,10
CWE-706,10
CWE-337,9
CWE-281,9
CWE-459,8
CWE-273,8
CWE-1187,7
CWE-1077,7
CWE-707,7
CWE-319,7
CWE-346,6
CWE-494,6
CWE-241,6
CWE-16,5
CWE-212,5
CWE-172,5
CWE-427,4
CWE-1021,4
CWE-126,4
CWE-113,4
CWE-693,3
CWE-208,3
CWE-320,3
CWE-88,2
CWE-312,2
CWE-943,2
CWE-457,2
CWE-325,2
CWE-664,2
CWE-460,1
CWE-335,1
CWE-73,1
CWE-475,1
CWE-680,1
CWE-324,1
CWE-361,1
CWE-26,1
CWE-23,1
